0	3	0	0	0	7.83	34.5
1	3	1	1	0	7	47
0	2	0	0	0	9.69	62
0	3	0	0	0	8.66	27
1	3	1	1	1	12.29	22
0	3	0	0	0	9.23	14
1	3	1	0	0	7.63	30
0	2	0	1	1	29	26
1	3	1	0	0	7.23	18
0	3	0	2	0	24.15	21
0	1	0	0	0	26	46
1	1	1	1	0	82.27	23
0	2	0	1	0	26	63
1	1	1	1	0	61.18	47
1	2	1	1	0	27.72	24
0	2	0	0	0	12.35	35
0	3	0	0	0	7.23	21
1	3	1	1	0	7.93	27
1	3	1	0	0	7.23	45
0	1	0	1	0	59.4	55
0	3	0	0	1	3.17	9
0	1	0	0	1	61.38	21
1	1	1	1	3	262.38	48
0	3	0	1	0	14.5	50
1	1	1	0	1	61.98	22
0	3	0	0	0	7.23	22.5
0	1	0	0	0	30.5	41
0	2	0	1	0	26	50
0	2	0	2	0	31.5	24
0	3	1	1	2	20.58	33
0	1	0	1	0	57.75	30
0	3	0	0	0	7.23	18.5
1	3	1	0	0	8.66	21
0	3	0	0	0	9.5	25
0	3	0	0	1	13.42	39
0	3	0	0	0	7.85	41
1	2	1	0	0	13	30
1	1	1	1	0	52.55	45
0	3	0	0	0	7.93	25
0	1	0	0	0	29.7	45
1	1	1	0	0	76.29	60
1	3	1	0	2	15.9	36
0	1	0	1	0	60	24
0	2	0	0	0	15.03	27
1	2	1	2	1	23	20
1	1	1	3	2	263	28
0	3	0	4	1	29.13	10
0	3	0	0	0	7.9	35
0	3	0	0	0	7.65	25
1	1	1	0	0	262.38	36
0	3	0	0	0	7.9	17
0	2	0	0	0	13.5	32
0	3	0	0	0	7.75	18
1	3	1	0	0	7.73	22
0	1	0	2	2	262.38	13
1	3	1	0	0	7.88	18
0	1	0	0	0	42.4	47
0	1	0	0	0	28.54	31
1	1	1	1	4	263	60
1	3	1	0	0	7.75	24
0	3	0	0	0	7.9	21
1	3	1	0	0	7.93	29
0	1	0	0	0	27.72	28.5
1	1	1	0	0	211.5	35
0	1	0	0	0	211.5	32.5
1	1	1	2	0	25.7	55
0	2	0	0	0	13	30
1	3	1	0	0	7.75	24
0	3	0	1	1	15.25	6
0	1	0	1	0	221.78	67
0	1	0	0	0	26	49
1	3	1	0	0	7.88	27
1	3	1	0	0	8.05	18
0	2	0	1	1	23	2
1	3	1	1	0	13.9	22
1	1	1	1	2	52	27
0	1	0	0	0	26	25
0	3	0	0	0	7.8	25
1	1	1	1	0	78.85	76
0	3	0	0	0	7.93	29
1	3	1	0	0	7.85	20
0	3	0	0	0	8.05	33
1	1	1	1	0	55.44	43
0	2	0	1	0	26	27
0	3	0	0	0	7.78	26
1	3	1	1	1	8.52	16
0	3	0	0	0	22.53	28
0	3	0	0	0	7.82	21
0	2	0	0	0	13	18.5
0	2	0	0	0	15.05	41
1	1	1	0	0	31.68	36
1	3	1	0	0	7.28	18.5
1	1	1	1	0	221.78	63
0	3	0	1	0	14.45	18
1	3	1	1	1	16.7	1
0	1	0	0	0	75.24	36
1	2	1	1	0	26	29
1	2	1	0	0	15.75	12
1	1	1	1	0	57.75	35
0	3	0	0	0	7.25	28
1	3	1	0	1	16.1	17
0	3	0	0	0	7.8	22
0	2	0	0	0	13	42
0	3	0	0	0	8.05	24
0	3	0	0	0	8.05	32
0	1	0	0	0	28.5	53
0	3	0	0	0	7.9	43
0	3	0	0	0	7.85	24
0	3	0	0	0	7.23	26.5
0	2	0	0	0	13	26
1	3	1	0	0	8.05	23
0	3	0	1	6	46.9	40
0	3	1	5	2	46.9	10
1	1	1	0	0	151.55	33
0	1	0	1	3	262.38	61
0	2	0	0	0	26	28
0	1	0	0	0	26.55	42
0	3	0	3	0	18	31
0	3	0	0	0	8.05	22
0	2	0	1	1	26	30
1	1	1	0	1	83.16	23
1	3	1	0	2	12.18	36
0	3	0	4	2	31.39	13
0	3	0	0	0	7.55	24
1	1	1	0	0	221.78	29
1	3	1	0	0	7.85	23
0	1	0	0	0	26.55	42
1	3	1	0	2	13.78	26
0	3	0	1	1	15.25	7
1	2	1	0	0	13.5	26
0	2	0	0	0	13	41
0	3	1	1	1	22.03	26
0	1	0	0	0	50.5	48
0	3	0	2	2	34.38	18
1	3	1	0	0	8.96	22
0	3	0	0	0	7.23	27
0	3	0	1	0	13.9	23
0	3	0	1	5	31.39	40
1	2	1	0	2	39	15
1	2	1	0	0	36.75	20
0	1	0	1	0	55.44	54
1	2	1	0	3	39	36
1	1	1	0	2	83.16	64
0	2	0	0	0	13	30
0	1	0	1	1	83.16	37
1	1	1	1	0	53.1	18
1	1	1	1	1	247.52	27
0	2	0	0	0	16	40
1	2	1	0	1	21	21
0	3	0	2	0	8.05	17
0	2	0	0	0	13	40
0	2	0	1	0	26	34
0	3	0	1	1	14.5	11.5
0	2	0	0	0	12.35	61
0	2	0	0	2	32.5	8
0	3	0	0	0	7.85	33
0	1	0	0	2	134.5	6
1	3	1	0	0	7.78	18
0	2	0	0	0	10.5	23
0	3	0	0	2	14.4	0.3
0	1	0	1	0	227.53	47
1	2	1	1	1	26	8
0	2	0	0	0	10.5	25
1	3	1	0	0	7.75	35
0	2	0	0	0	10.5	24
1	1	1	0	0	27.72	33
0	3	0	0	0	7.9	25
0	3	0	0	0	22.53	32
0	2	0	0	0	73.5	17
1	2	1	1	0	26	60
1	3	1	4	2	7.78	38
0	1	0	0	0	42.5	42
0	1	0	1	1	164.87	57
1	1	1	1	1	211.5	50
1	2	1	1	0	13.86	30
0	3	0	0	0	8.05	21
1	2	1	0	0	10.5	22
0	3	0	0	0	7.8	21
1	1	1	0	0	27.45	53
0	3	0	0	0	7.8	23
0	3	0	0	0	15.1	40.5
0	2	0	0	0	13	36
0	2	0	0	0	65	14
1	1	1	0	0	26.55	21
0	3	0	1	0	6.5	21
0	1	0	1	0	71.28	39
0	3	0	0	0	7.85	20
0	1	0	1	0	75.25	64
